**********
SEED 1
**********
Iteration 1	 Training error: 0.309209
Iteration 2	 Training error: 0.309132
Iteration 3	 Training error: 0.302949
Iteration 4	 Training error: 0.264619
Iteration 5	 Training error: 0.272653
Iteration 6	 Training error: 0.233882
Iteration 7	 Training error: 0.227102
Iteration 8	 Training error: 0.220719
Iteration 9	 Training error: 0.209433
Iteration 10	 Training error: 0.196927
Iteration 11	 Training error: 0.187732
Iteration 12	 Training error: 0.181912
Iteration 13	 Training error: 0.169626
Iteration 14	 Training error: 0.161604
Iteration 15	 Training error: 0.155352
Iteration 16	 Training error: 0.146027
Iteration 17	 Training error: 0.138536
Iteration 18	 Training error: 0.132177
Iteration 19	 Training error: 0.124699
Iteration 20	 Training error: 0.117979
Iteration 21	 Training error: 0.112036
Iteration 22	 Training error: 0.105793
Iteration 23	 Training error: 0.0999191
Iteration 24	 Training error: 0.0946111
Iteration 25	 Training error: 0.0893854
Iteration 26	 Training error: 0.0843997
Iteration 27	 Training error: 0.0798284
Iteration 28	 Training error: 0.0754806
Iteration 29	 Training error: 0.0713341
Iteration 30	 Training error: 0.0674907
Iteration 31	 Training error: 0.0638958
Iteration 32	 Training error: 0.0604946
Iteration 33	 Training error: 0.0573172
Iteration 34	 Training error: 0.0543606
Iteration 35	 Training error: 0.0515894
Iteration 36	 Training error: 0.0489927
Iteration 37	 Training error: 0.0465718
Iteration 38	 Training error: 0.044313
Iteration 39	 Training error: 0.0421989
Iteration 40	 Training error: 0.0402215
Iteration 41	 Training error: 0.0383743
Iteration 42	 Training error: 0.036647
Iteration 43	 Training error: 0.0350293
Iteration 44	 Training error: 0.0335135
Iteration 45	 Training error: 0.0320933
Iteration 46	 Training error: 0.0307616
Iteration 47	 Training error: 0.0295112
Iteration 48	 Training error: 0.0283363
Iteration 49	 Training error: 0.0272316
Iteration 50	 Training error: 0.026192
Iteration 51	 Training error: 0.0252129
Iteration 52	 Training error: 0.0242897
Iteration 53	 Training error: 0.0234184
Iteration 54	 Training error: 0.0225956
Iteration 55	 Training error: 0.0218178
Iteration 56	 Training error: 0.0210818
Iteration 57	 Training error: 0.0203848
Iteration 58	 Training error: 0.0197242
Iteration 59	 Training error: 0.0190975
Iteration 60	 Training error: 0.0185024
Iteration 61	 Training error: 0.017937
Iteration 62	 Training error: 0.0173992
Iteration 63	 Training error: 0.0168874
Iteration 64	 Training error: 0.0163998
Iteration 65	 Training error: 0.015935
Iteration 66	 Training error: 0.0154916
Iteration 67	 Training error: 0.0150683
Iteration 68	 Training error: 0.0146638
Iteration 69	 Training error: 0.0142771
Iteration 70	 Training error: 0.0139071
Iteration 71	 Training error: 0.0135528
Iteration 72	 Training error: 0.0132135
Iteration 73	 Training error: 0.0128881
Iteration 74	 Training error: 0.012576
Iteration 75	 Training error: 0.0122765
Iteration 76	 Training error: 0.0119888
Iteration 77	 Training error: 0.0117123
Iteration 78	 Training error: 0.0114464
Iteration 79	 Training error: 0.0111906
Iteration 80	 Training error: 0.0109444
Iteration 81	 Training error: 0.0107073
Iteration 82	 Training error: 0.0104788
Iteration 83	 Training error: 0.0102584
Iteration 84	 Training error: 0.0100459
Iteration 85	 Training error: 0.00984083
Iteration 86	 Training error: 0.0096428
Iteration 87	 Training error: 0.00945152
