**********
SEED 1
**********
Iteration 1	 Training error: 0.406744
Iteration 2	 Training error: 0.301787
Iteration 3	 Training error: 0.264521
Iteration 4	 Training error: 0.292986
Iteration 5	 Training error: 0.241988
Iteration 6	 Training error: 0.233462
Iteration 7	 Training error: 0.2197
Iteration 8	 Training error: 0.210606
Iteration 9	 Training error: 0.207102
Iteration 10	 Training error: 0.193336
Iteration 11	 Training error: 0.18914
Iteration 12	 Training error: 0.182761
Iteration 13	 Training error: 0.178644
Iteration 14	 Training error: 0.170362
Iteration 15	 Training error: 0.164513
Iteration 16	 Training error: 0.158915
Iteration 17	 Training error: 0.153737
Iteration 18	 Training error: 0.147392
Iteration 19	 Training error: 0.141701
Iteration 20	 Training error: 0.136369
Iteration 21	 Training error: 0.131055
Iteration 22	 Training error: 0.125447
Iteration 23	 Training error: 0.120128
Iteration 24	 Training error: 0.115078
Iteration 25	 Training error: 0.110104
Iteration 26	 Training error: 0.105146
Iteration 27	 Training error: 0.10039
Iteration 28	 Training error: 0.0958469
Iteration 29	 Training error: 0.0914445
Iteration 30	 Training error: 0.0871668
Iteration 31	 Training error: 0.0830729
Iteration 32	 Training error: 0.0791731
Iteration 33	 Training error: 0.0754425
Iteration 34	 Training error: 0.0718702
Iteration 35	 Training error: 0.06847
Iteration 36	 Training error: 0.065246
Iteration 37	 Training error: 0.0621883
Iteration 38	 Training error: 0.0592869
Iteration 39	 Training error: 0.0565391
Iteration 40	 Training error: 0.0539428
Iteration 41	 Training error: 0.0514914
Iteration 42	 Training error: 0.0491766
Iteration 43	 Training error: 0.0469913
Iteration 44	 Training error: 0.0449299
Iteration 45	 Training error: 0.0429864
Iteration 46	 Training error: 0.0411541
Iteration 47	 Training error: 0.0394262
Iteration 48	 Training error: 0.0377966
Iteration 49	 Training error: 0.0362595
Iteration 50	 Training error: 0.0348095
Iteration 51	 Training error: 0.0334411
Iteration 52	 Training error: 0.0321491
Iteration 53	 Training error: 0.0309288
Iteration 54	 Training error: 0.0297755
Iteration 55	 Training error: 0.0286851
Iteration 56	 Training error: 0.0276535
Iteration 57	 Training error: 0.0266769
Iteration 58	 Training error: 0.0257519
Iteration 59	 Training error: 0.0248751
Iteration 60	 Training error: 0.0240435
Iteration 61	 Training error: 0.0232543
Iteration 62	 Training error: 0.0225047
Iteration 63	 Training error: 0.0217924
Iteration 64	 Training error: 0.0211149
Iteration 65	 Training error: 0.0204702
Iteration 66	 Training error: 0.0198562
Iteration 67	 Training error: 0.0192711
Iteration 68	 Training error: 0.0187132
Iteration 69	 Training error: 0.0181808
Iteration 70	 Training error: 0.0176725
Iteration 71	 Training error: 0.0171868
Iteration 72	 Training error: 0.0167224
Iteration 73	 Training error: 0.0162781
Iteration 74	 Training error: 0.0158529
Iteration 75	 Training error: 0.0154456
Iteration 76	 Training error: 0.0150552
Iteration 77	 Training error: 0.0146808
Iteration 78	 Training error: 0.0143215
Iteration 79	 Training error: 0.0139766
Iteration 80	 Training error: 0.0136453
Iteration 81	 Training error: 0.0133268
Iteration 82	 Training error: 0.0130206
Iteration 83	 Training error: 0.0127259
Iteration 84	 Training error: 0.0124423
Iteration 85	 Training error: 0.0121691
Iteration 86	 Training error: 0.0119058
Iteration 87	 Training error: 0.011652
Iteration 88	 Training error: 0.0114072
Iteration 89	 Training error: 0.0111709
Iteration 90	 Training error: 0.0109428
